Designator,Mid X,Mid Y,Rotation,Layer
BT1,34.0,45.4,0.0,bottom
C1,31.99,34.12,90.0,top
C10,65.8925,6.89,270.0,top
C11,2.77,59.825,270.0,top
C12,7.2625,57.81,180.0,top
C13,63.8025,15.465,90.0,top
C14,66.3125,19.325,90.0,top
C15,40.9425,8.7425,0.0,top
C16,36.1575,8.7825,0.0,top
C17,10.695,26.04,0.0,top
C18,55.355,72.46,0.0,top
C19,55.405,70.0,0.0,top
C2,29.51,34.155,90.0,top
C20,-1.415001,20.96,0.0,top
C21,53.06,38.180002,0.0,top
C22,57.86,30.88,90.0,top
C23,53.08,35.750002,0.0,top
C24,46.8,32.55,90.0,top
C25,44.41,32.57,90.0,top
C26,42.01,32.57,90.0,top
C27,10.655,23.48,0.0,top
C28,0.3475,57.575,270.0,top
C29,59.5775,19.14,0.0,top
C3,70.4,59.34,90.0,top
C30,33.63,22.02,0.0,top
C31,13.96,7.525,270.0,top
C4,67.8,61.755,90.0,top
C5,7.49,66.34,270.0,top
C6,21.4,63.87,180.0,top
C7,21.46,61.37,0.0,top
C8,60.1625,10.685,90.0,top
C9,2.82,67.93,90.0,top
D1,41.5,3.73,180.0,top
D2,66.83,33.13,0.0,top
D4,8.825,18.71,270.0,top
D5,53.715,66.14,270.0,top
D6,54.17,58.4,180.0,top
D7,51.28,50.92,0.0,top
D8,59.15,54.16,180.0,top
D9,25.03,33.735,270.0,top
IC1,10.4,7.515,0.0,top
IC2,51.83,31.76,180.0,top
J1,35.36,-5.479999,0.0,top
J2,78.325,36.78,90.0,top
J3,47.89,20.61,0.0,top
J4,3.71,45.27,180.0,top
MK1,9.13,72.15,0.0,top
MK2,59.4,4.98,0.0,top
MK3,34.081,26.048,0.0,top
R1,69.64,35.16,180.0,top
R10,8.4375,61.855,90.0,top
R11,10.43,63.63,90.0,top
R12,1.87,63.01,0.0,top
R13,-0.015,61.28,180.0,top
R14,3.3125,56.23,0.0,top
R15,58.1525,10.095,270.0,top
R16,58.1225,15.485,270.0,top
R17,56.5525,13.865,270.0,top
R18,63.8125,11.545,90.0,top
R19,65.8025,15.405,90.0,top
R2,69.965,39.355,90.0,top
R20,63.5375,20.77,180.0,top
R21,50.74,54.73,270.0,top
R22,11.315,16.3,180.0,top
R23,57.7525,57.305,270.0,top
R24,56.195,63.04,180.0,top
R25,1.000001,25.374999,270.0,top
R26,-1.914999,27.319999,0.0,top
R27,-7.4,38.29,270.0,top
R28,25.02,37.915,270.0,top
R29,23.47,37.895,270.0,top
R3,30.385,42.43,90.0,top
R30,26.6,37.91,270.0,top
R31,13.09,52.89,90.0,top
R4,31.945,42.46,270.0,top
R5,30.735,40.0,0.0,top
R6,45.89,63.02,180.0,top
R7,34.13,42.58,90.0,top
R8,35.72,42.585,90.0,top
R9,10.52,67.0,90.0,top
SW1,63.72,61.18,270.0,top
SW2,17.19,71.84,180.0,top
SW3,-13.42,35.895,270.0,top
TH1,75.77,55.96,0.0,top
U1,34.31,57.07,0.0,top
U10,12.15,19.69,270.0,top
U2,36.91,11.83,90.0,top
U3,56.875,66.33,270.0,top
U4,5.8275,61.5,90.0,top
U5,54.2025,54.16,0.0,top
U7,-2.24,24.45,0.0,top
U8,60.7825,15.48,270.0,top
Y1,30.735,37.79,0.0,top
