Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,12pF,C107034
"C10, C9",1206,2,47uF,C94034
"C11, C13",0603,2,120pF,C107035
"C12, C15, C16, C17, C19, C20, C26, C29, C3, C30, C31, C32, C4, C7",0603,14,100nF,C30926
"C14, C28",0603,2,3.3uF,C5360803
"C18, C21, C22, C23, C24, C25, C27, C5, C8",0603,9,330nF,C282682
"C33, C34, C35, C36, C37, C38",0603,6,10uF,C19702
C6,1206,1,22uF,C2835562
D10,LED_RGB_PLCC-6,1,RS-3535MWAR,C110402
D2,D_SMA-SMB_Universal_Handsoldering,1,SS34,C8678
IC2,SOIC127P600X150-9N,1,AP7362-33SP-13,C780775
IC3,ZMOD4410AI2V,1,ZMOD4410AI2V,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
J3,HL2410A,1,Conn_01x05_Pin,
"MK1, MK2",POM-2244P-C3310-2-R,2,Microphone_Condenser,C233939
"R1, R2",0603,2,5k1,C23186
"R10, R11, R16, R17",0603,4,200k,C25811
"R12, R18",0603,2,787R,C137683
"R13, R19",0603,2,330k,C25804
"R14, R20, R21, R23, R25, R6",0603,6,10k,C25804
"R15, R9",0603,2,5.9k,C23071
"R22, R24, R28, R29, R30, R31, R33",0603,7,1K,C21190
"R27, R32",R_LDR_5.1x4.3mm_P3.4mm_Vertical,2,GL5506（4-7K）,C11299
"R3, R4, R7, R8",0603,4,0R,C21189
R5,0603,1,1M,C22935
SW1,SW_SPST_PTS647_Sx38,1,EN,C2689502
SW2,SW_SPST_PTS647_Sx38,1,BOOT,C2689502
"TP1, TP15, TP16, TP17, TP18, TP2, TP3, TP4, TP8",TestPoint_Pad_D3.0mm,9,TestPoint,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C2913206
"U10, U3, U4, U8",SOT-23-5_HandSoldering,4,LMV321,C395459
U2,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,C125972
U6,SOT-23,1,HAL251SO,C5261092
U7,HL2410,1,~,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C97606
