Designator,Mid X,Mid Y,Rotation,Layer
C1,37.1425,45.08,180.0,top
C10,9.51,14.39,270.0,top
C11,59.2,23.84,90.0,top
C12,53.7,25.67,90.0,top
C13,15.85,22.63,90.0,top
C14,13.1,25.73,180.0,top
C15,36.94,10.85,270.0,top
C16,30.76,12.14,0.0,top
C17,6.52,28.51,180.0,top
C18,63.87,29.38,0.0,top
C19,63.95,27.76,0.0,top
C2,37.27,42.58,180.0,top
C20,31.445,19.93,180.0,top
C21,50.375,44.8175,90.0,top
C22,48.8,44.8325,90.0,top
C23,51.94,44.8325,90.0,top
C24,48.77,40.8975,270.0,top
C25,50.38,40.855,270.0,top
C26,51.94,40.8375,270.0,top
C27,6.52,30.06,180.0,top
C28,56.63,26.61,180.0,top
C29,10.46,24.99,90.0,top
C3,12.55,56.8575,270.0,top
C30,36.765,19.9,0.0,top
C31,30.76,15.72,90.0,top
C32,37.88,34.3175,270.0,top
C33,51.18,54.64,0.0,top
C34,51.14,53.06,0.0,top
C35,51.2175,51.56,0.0,top
C36,54.6825,51.56,180.0,top
C37,54.6525,53.03,180.0,top
C38,54.58,54.54,180.0,top
C4,14.2,56.8375,270.0,top
C5,59.48,17.48,90.0,top
C6,15.64,35.96,270.0,top
C7,17.58,35.34,90.0,top
C8,14.95,16.9475,90.0,top
C9,50.48,16.6,270.0,top
D10,38.5,38.73,0.0,top
D2,45.1775,63.27,180.0,top
IC2,55.51,42.79,270.0,top
IC3,34.29,15.99,0.0,top
J2,34.11,65.735,180.0,top
J3,50.34,29.83,180.0,top
MK1,54.6225,13.9,0.0,top
MK2,14.0525,12.92,0.0,top
R1,36.51,60.05,0.0,top
R10,55.09,19.475,90.0,top
R11,57.52,19.92,0.0,top
R12,52.84,19.175,90.0,top
R13,53.59,22.46,90.0,top
R14,54.89,28.2,180.0,top
R15,12.56,16.04,0.0,top
R16,11.87,18.57,90.0,top
R17,13.43,18.55,90.0,top
R18,9.12,18.43,90.0,top
R19,10.46,21.73,90.0,top
R2,31.55,59.97,180.0,top
R20,11.27,27.45,180.0,top
R21,48.45,57.02,180.0,top
R22,3.69,37.26,0.0,top
R23,48.48,58.58,0.0,top
R24,62.52,36.04,0.0,top
R25,48.45,60.12,0.0,top
R27,11.57,34.11,180.0,top
R28,33.72,38.92,0.0,top
R29,33.77,37.35,0.0,top
R3,29.94,43.04,180.0,top
R30,33.72,40.49,0.0,top
R31,26.71,56.73,90.0,top
R32,56.72,34.11,0.0,top
R33,25.18,56.72,90.0,top
R4,29.91,44.6,0.0,top
R5,32.27,43.925,90.0,top
R6,11.01,56.9,270.0,top
R7,34.91,56.51,270.0,top
R8,33.36,56.48,270.0,top
R9,55.95,17.175,0.0,top
SW1,17.7,61.27,0.0,top
SW2,43.165,58.3,0.0,top
U1,20.06,46.57,90.0,top
U10,6.4075,33.25,90.0,top
U2,34.25,10.9,270.0,top
U3,61.84,32.75,90.0,top
U4,56.4725,23.415,270.0,top
U6,34.1,34.3275,90.0,top
U7,33.79,23.66,90.0,top
U8,13.08,22.56,270.0,top
Y1,34.28,43.92,90.0,top
